Format of output
key:  value  ->  retrievedValue , collisions number Collisions
Linear total number Collisions
Quadratic total number Collisions
Double hashing total number Collisions

*** Random Order Start *** 


2151 : 4302 -> 4302, collisions 0
2151 : 4302 -> 4302, collisions 0
2151 : 4302 -> 4302, collisions 0

4678 : 9356 -> 9356, collisions 0
4678 : 9356 -> 9356, collisions 0
4678 : 9356 -> 9356, collisions 0

1777 : 3554 -> 3554, collisions 0
1777 : 3554 -> 3554, collisions 0
1777 : 3554 -> 3554, collisions 0

9735 : 19470 -> 19470, collisions 0
9735 : 19470 -> 19470, collisions 0
9735 : 19470 -> 19470, collisions 0

6543 : 13086 -> 13086, collisions 0
6543 : 13086 -> 13086, collisions 0
6543 : 13086 -> 13086, collisions 0

8577 : 17154 -> 17154, collisions 0
8577 : 17154 -> 17154, collisions 0
8577 : 17154 -> 17154, collisions 0

1675 : 3350 -> 3350, collisions 0
1675 : 3350 -> 3350, collisions 0
1675 : 3350 -> 3350, collisions 0

2359 : 4718 -> 4718, collisions 0
2359 : 4718 -> 4718, collisions 0
2359 : 4718 -> 4718, collisions 0

2978 : 5956 -> 5956, collisions 0
2978 : 5956 -> 5956, collisions 0
2978 : 5956 -> 5956, collisions 0

3093 : 6186 -> 6186, collisions 0
3093 : 6186 -> 6186, collisions 0
3093 : 6186 -> 6186, collisions 0

3127 : 6254 -> 6254, collisions 2
3127 : 6254 -> 6254, collisions 2
3127 : 6254 -> 6254, collisions 2

1691 : 3382 -> 3382, collisions 0
1691 : 3382 -> 3382, collisions 0
1691 : 3382 -> 3382, collisions 0

2041 : 4082 -> 4082, collisions 0
2041 : 4082 -> 4082, collisions 0
2041 : 4082 -> 4082, collisions 0

544 : 1088 -> 1088, collisions 0
544 : 1088 -> 1088, collisions 0
544 : 1088 -> 1088, collisions 0

147 : 294 -> 294, collisions 0
147 : 294 -> 294, collisions 0
147 : 294 -> 294, collisions 0

9120 : 18240 -> 18240, collisions 0
9120 : 18240 -> 18240, collisions 0
9120 : 18240 -> 18240, collisions 0

2961 : 5922 -> 5922, collisions 0
2961 : 5922 -> 5922, collisions 0
2961 : 5922 -> 5922, collisions 0

3327 : 6654 -> 6654, collisions 0
3327 : 6654 -> 6654, collisions 0
3327 : 6654 -> 6654, collisions 0

7575 : 15150 -> 15150, collisions 0
7575 : 15150 -> 15150, collisions 0
7575 : 15150 -> 15150, collisions 0

4437 : 8874 -> 8874, collisions 0
4437 : 8874 -> 8874, collisions 0
4437 : 8874 -> 8874, collisions 0

707 : 1414 -> 1414, collisions 0
707 : 1414 -> 1414, collisions 0
707 : 1414 -> 1414, collisions 0

6999 : 13998 -> 13998, collisions 0
6999 : 13998 -> 13998, collisions 0
6999 : 13998 -> 13998, collisions 0

9049 : 18098 -> 18098, collisions 0
9049 : 18098 -> 18098, collisions 0
9049 : 18098 -> 18098, collisions 0

3954 : 7908 -> 7908, collisions 0
3954 : 7908 -> 7908, collisions 0
3954 : 7908 -> 7908, collisions 0

5300 : 10600 -> 10600, collisions 0
5300 : 10600 -> 10600, collisions 0
5300 : 10600 -> 10600, collisions 0

48 : 96 -> 96, collisions 0
48 : 96 -> 96, collisions 0
48 : 96 -> 96, collisions 0

7815 : 15630 -> 15630, collisions 0
7815 : 15630 -> 15630, collisions 0
7815 : 15630 -> 15630, collisions 0

2188 : 4376 -> 4376, collisions 0
2188 : 4376 -> 4376, collisions 0
2188 : 4376 -> 4376, collisions 0

3571 : 7142 -> 7142, collisions 0
3571 : 7142 -> 7142, collisions 0
3571 : 7142 -> 7142, collisions 0

9313 : 18626 -> 18626, collisions 0
9313 : 18626 -> 18626, collisions 0
9313 : 18626 -> 18626, collisions 0

2006 : 4012 -> 4012, collisions 0
2006 : 4012 -> 4012, collisions 0
2006 : 4012 -> 4012, collisions 0

1573 : 3146 -> 3146, collisions 0
1573 : 3146 -> 3146, collisions 0
1573 : 3146 -> 3146, collisions 0

8178 : 16356 -> 16356, collisions 0
8178 : 16356 -> 16356, collisions 0
8178 : 16356 -> 16356, collisions 0

9984 : 19968 -> 19968, collisions 0
9984 : 19968 -> 19968, collisions 0
9984 : 19968 -> 19968, collisions 0

1300 : 2600 -> 2600, collisions 0
1300 : 2600 -> 2600, collisions 0
1300 : 2600 -> 2600, collisions 0

1568 : 3136 -> 3136, collisions 2
1568 : 3136 -> 3136, collisions 2
1568 : 3136 -> 3136, collisions 10

8007 : 16014 -> 16014, collisions 0
8007 : 16014 -> 16014, collisions 0
8007 : 16014 -> 16014, collisions 0

3084 : 6168 -> 6168, collisions 0
3084 : 6168 -> 6168, collisions 0
3084 : 6168 -> 6168, collisions 0

5969 : 11938 -> 11938, collisions 0
5969 : 11938 -> 11938, collisions 0
5969 : 11938 -> 11938, collisions 0

7706 : 15412 -> 15412, collisions 0
7706 : 15412 -> 15412, collisions 0
7706 : 15412 -> 15412, collisions 0

5273 : 10546 -> 10546, collisions 0
5273 : 10546 -> 10546, collisions 0
5273 : 10546 -> 10546, collisions 0

9313 : 18626 -> 18626, collisions 0
9313 : 18626 -> 18626, collisions 0
9313 : 18626 -> 18626, collisions 0

5025 : 10050 -> 10050, collisions 0
5025 : 10050 -> 10050, collisions 0
5025 : 10050 -> 10050, collisions 0

6654 : 13308 -> 13308, collisions 0
6654 : 13308 -> 13308, collisions 0
6654 : 13308 -> 13308, collisions 0

7923 : 15846 -> 15846, collisions 2
7923 : 15846 -> 15846, collisions 4
7923 : 15846 -> 15846, collisions 2

7055 : 14110 -> 14110, collisions 2
7055 : 14110 -> 14110, collisions 2
7055 : 14110 -> 14110, collisions 4

6970 : 13940 -> 13940, collisions 2
6970 : 13940 -> 13940, collisions 0
6970 : 13940 -> 13940, collisions 4

6861 : 13722 -> 13722, collisions 0
6861 : 13722 -> 13722, collisions 0
6861 : 13722 -> 13722, collisions 0

3086 : 6172 -> 6172, collisions 2
3086 : 6172 -> 6172, collisions 2
3086 : 6172 -> 6172, collisions 4

